Date,Description,Credit,Debit
2024-06-28,CLIENT PAYMENT - MITCHELL DESIGN,2500.00,0.00
2024-06-25,NETFLIX SUBSCRIPTION,0.00,15.99
2024-06-24,TFL LONDON UNDERGROUND,0.00,3.40
2024-06-22,ADOBE CREATIVE CLOUD,0.00,54.99
2024-06-20,INVOICE PAYMENT - TECHSTARTUP,3800.00,0.00
2024-06-18,UBER TRIP,0.00,18.50
2024-06-15,IKEA - OFFICE CHAIR,0.00,249.00
2024-06-12,CONSULTING FEE - SARAH MITCHELL,1200.00,0.00
2024-06-10,GITHUB PRO SUBSCRIPTION,0.00,4.00
2024-06-08,AMAZON UK - OFFICE SUPPLIES,0.00,67.34
2024-06-05,PAYMENT FROM CREATIVE AGENCY,1800.00,0.00
2024-06-03,STARBUCKS COFFEE,0.00,12.30
2024-06-01,BARCLAYS BANK CHARGE,0.00,12.00
2024-05-29,FIGMA PROFESSIONAL,0.00,15.00
2024-05-28,PHOTOGRAPHY PROJECT - PAYMENT,900.00,0.00
2024-05-25,SHELL PETROL,0.00,58.40
2024-05-22,APPLE MACBOOK CHARGER,0.00,79.00
2024-05-20,FREELANCE PAYMENT - ALEX THOMPSON,750.00,0.00
2024-05-18,MARKETING - FACEBOOK ADS,0.00,120.00
2024-05-15,CONSULTING FEE,600.00,0.00
